GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001 Eddy Scaling:     1.000
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T Updated Turbulent Conduction:  F
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
      28 2002 12 21  0  1 57 100  4.3211    157.63846   1257.73540    962.77392    -12.10670      5.38303     -2.05744    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13308  -0.40992  44.97176
      29 2002 12 21  0  2  1 421  4.3218    157.63741   1257.45481    962.77644    -12.58840      5.87860     -2.12609    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13276  -0.40992  44.92118
      30 2002 12 21  0  2  5 744  4.3224    157.63328   1257.17369    962.77876    -13.12052      6.17911     -2.19401    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13245  -0.40992  44.86670
      31 2002 12 21  0  2 10  67  4.3231    157.62398   1256.89214    962.78079    -13.70450      6.16758     -2.26126    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13213  -0.40992  44.81883
      32 2002 12 21  0  2 14 391  4.3241    157.61604   1256.61029    962.78256    -14.26121      6.80820     -2.32761    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13182  -0.40992  44.76599
      33 2002 12 21  0  2 18 716  4.3253    157.61446   1256.32831    962.78406    -14.78076      7.27900     -2.39320    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13150  -0.40992  44.71866
      34 2002 12 21  0  2 23  42  4.3255    157.61490   1256.04655    962.78529    -15.26238      7.49952     -2.45789    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13119  -0.40992  44.66623
      35 2002 12 21  0  2 27 367  4.3257    157.61513   1255.76521    962.78624    -15.76668      7.87712     -2.52166    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13088  -0.40992  44.61968
      36 2002 12 21  0  2 31 693  4.3258    157.61336   1255.69083    962.78695    -16.41338      8.56076     -2.58457    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13056  -0.40992  44.56781
      37 2002 12 21  0  2 36  19  4.3259    157.61082   1255.67411    962.78741    -17.05984      8.96093     -2.64653    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13025  -0.40992  44.52219
      38 2002 12 21  0  2 40 345  4.3259    157.60920   1255.65535    962.78766    -17.66119      8.99852     -2.70760    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12993  -0.40992  44.47099
      39 2002 12 21  0  2 44 671  4.3258    157.61084   1255.63161    962.78772    -18.21009      9.89219     -2.76768    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12962  -0.40992  44.42634
      40 2002 12 21  0  2 48 997  4.3257    157.61489   1255.61283    962.78762    -18.86119     10.54675     -2.82683    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12930  -0.40992  44.37593
      41 2002 12 21  0  2 53 322  4.3255    157.61723   1255.59032    962.78738    -19.56123     10.84024     -2.88513    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12899  -0.40992  44.33222
      42 2002 12 21  0  2 57 648  4.3254    157.61695   1255.56606    962.78704    -20.21764     11.18170     -2.94253    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12867  -0.40992  44.28264
      43 2002 12 21  0  3  1 973  4.3254    157.61758   1255.54154    962.78663    -20.81893     12.07411     -2.99904    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12836  -0.40992  44.23986
      44 2002 12 21  0  3  6 298  4.3253    157.62083   1255.50946    962.78615    -21.49726     12.66396     -3.05459    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12804  -0.40992  44.19113
      45 2002 12 21  0  3 10 623  4.3251    157.62449   1255.47962    962.78565    -22.24363     12.80474     -3.10912    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12773  -0.40992  44.14887
      46 2002 12 21  0  3 14 948  4.3249    157.62568   1255.44397    962.78518    -22.94724     13.65263     -3.16269    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12742  -0.40992  44.10074
      47 2002 12 21  0  3 19 273  4.3249    157.62665   1255.41081    962.78475    -23.59522     14.59822     -3.21535    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12710  -0.40992  44.05995
      48 2002 12 21  0  3 23 598  4.3248    157.62870   1255.36594    962.78440    -24.18309     15.15123     -3.26710    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12679  -0.40992  44.01278
      49 2002 12 21  0  3 27 923  4.3247    157.63079   1255.32223    962.78413    -24.91003     15.20055     -3.31796    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12647  -0.40992  43.97296
      50 2002 12 21  0  3 32 247  4.3247    157.63157   1255.26844    962.78399    -25.68114     16.43525     -3.36778    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12616  -0.40992  43.92660
      51 2002 12 21  0  3 36 572  4.3246    157.63081   1255.20874    962.78399    -26.39914     17.30695     -3.41668    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12584  -0.40992  43.88764
      52 2002 12 21  0  3 40 896  4.3244    157.63051   1255.14126    962.78418    -27.05267     17.68025     -3.46454    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12553  -0.40992  43.84200
      53 2002 12 21  0  3 45 221  4.3242    157.63155   1255.07612    962.78458    -27.75819     18.19886     -3.51123    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12521  -0.40992  43.80387
      54 2002 12 21  0  3 49 545  4.3241    157.63274   1255.00116    962.78522    -28.58902     19.48367     -3.55693    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12490  -0.40992  43.75892
      55 2002 12 21  0  3 53 869  4.3240    157.63174   1254.91948    962.78615    -29.37077     20.26410     -3.60153    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12459  -0.40992  43.72158
      56 2002 12 21  0  3 58 192  4.3238    157.62932   1254.82886    962.78744    -30.08768     20.41584     -3.64490    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12427  -0.40992  43.67730
      57 2002 12 21  0  4  2 516  4.3236    157.62558   1254.73434    962.78917    -30.73460     21.38169     -3.68701    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12396  -0.40992  43.64073
      58 2002 12 21  0  4  6 840  4.3234    157.62264   1254.62690    962.79142    -31.54769     22.65026     -3.72769    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12364  -0.40992  43.59673
      59 2002 12 21  0  4 11 162  4.3226    157.62118   1255.79344    962.79435    -32.41167     23.32941     -3.76687    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12333  -0.40992  43.55963
      60 2002 12 21  0  4 15 484  4.3220    157.61985   1257.84740    962.79813    -33.21282     23.19460     -3.80449    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12301  -0.40992  43.51579
      61 2002 12 21  0  4 19 806  4.3215    157.61737   1259.61411    962.80296    -33.93782     24.92554     -3.84037    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12270  -0.40992  43.47966
      62 2002 12 21  0  4 24 127  4.3211    157.61357   1261.00097    962.80910    -34.72711     26.16408     -3.87470    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12238  -0.40992  43.43671
      63 2002 12 21  0  4 28 447  4.3206    157.60949   1261.80648    962.81688    -35.67112     26.62153     -3.90715    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12207  -0.40992  43.40153
      64 2002 12 21  0  4 32 767  4.3200    157.60618   1263.78090    962.82665    -36.55533     26.72171     -3.93718    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12176  -0.40992  43.35936
      65 2002 12 21  0  4 37  87  4.3193    157.60348   1265.47877    962.83886    -37.36142     28.52393     -3.96503    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12144  -0.40992  43.32497
      66 2002 12 21  0  4 41 405  4.3185    157.60037   1266.71434    962.85402    -38.08388     29.66921     -3.99042    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12113  -0.40992  43.28343
      67 2002 12 21  0  4 45 723  4.3178    157.59637   1267.21384    962.87272    -39.01753     30.25318     -4.01297    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12081  -0.40992  43.24972
      68 2002 12 21  0  4 50  40  4.3172    157.59237   1268.76667    962.89562    -39.99976     31.93600     -4.03273    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12050  -0.40992  43.20871
      69 2002 12 21  0  4 54 357  4.3168    157.58919   1270.29685    962.92344    -40.90736     32.41264     -4.04950    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.12019  -0.40992  43.17559
      70 2002 12 21  0  4 58 673  4.3166    157.58676   1271.26999    962.95699    -41.72461     33.41695     -4.06289    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.11987  -0.40992  43.13500
      71 2002 12 21  0  5  0   0  1.3262    157.58957   1271.39921    962.95928    -41.86546     33.57272     -4.06556    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.11978  -0.40992  43.12523
