   iStep yyyy mm dd hh mm ss  ms      dt min(t) max(t) min(VV) max(VV)
      63 2002 12 21  0  2 49 545  2.6236    158.87595   1364.26355   -189.75138    120.15585
      64 2002 12 21  0  2 52 168  2.6232    158.86084   1365.49525   -189.84717    122.07608
      65 2002 12 21  0  2 54 791  2.6227    158.84676   1366.73845   -189.92897    123.83004
      66 2002 12 21  0  2 57 413  2.6219    158.83379   1367.99117   -189.99193    126.49654
      67 2002 12 21  0  3  0  34  2.6212    158.82075   1369.25187   -190.06247    129.13183
      68 2002 12 21  0  3  2 655  2.6209    158.80548   1370.52391   -190.15703    131.68087
      69 2002 12 21  0  3  5 275  2.6204    158.78892   1371.81157   -190.24402    134.10118
      70 2002 12 21  0  3  7 895  2.6199    158.77470   1373.13851   -190.31909    136.35581
      71 2002 12 21  0  3 10 515  2.6196    158.76390   1374.47727   -190.39235    138.40575
      72 2002 12 21  0  3 13 134  2.6192    158.75333   1375.82533   -190.43914    140.49828
      73 2002 12 21  0  3 15 753  2.6188    158.74223   1377.17930   -190.45406    143.38466
      74 2002 12 21  0  3 18 372  2.6186    158.73226   1378.54316   -190.45225    146.22962
      75 2002 12 21  0  3 20 990  2.6181    158.72406   1379.90793   -190.41544    148.96125
      76 2002 12 21  0  3 23 607  2.6176    158.71645   1381.26582   -190.66563    151.54221
      77 2002 12 21  0  3 26 225  2.6174    158.70928   1382.61191   -191.13691    153.93211
      78 2002 12 21  0  3 28 842  2.6175    158.70301   1383.94302   -191.61077    156.08874
      79 2002 12 21  0  3 31 459  2.6170    158.69737   1385.27228   -192.05053    158.72125
      80 2002 12 21  0  3 34  76  2.6171    158.69098   1386.55196   -192.50958    161.84944
      81 2002 12 21  0  3 36 693  2.6167    158.68362   1387.99375   -192.93081    164.90087
      82 2002 12 21  0  3 39 309  2.6165    158.67620   1389.43426   -193.35159    167.81514
      83 2002 12 21  0  3 41 926  2.6161    158.66969   1390.84795   -193.74370    170.55021
      84 2002 12 21  0  3 44 542  2.6160    158.66403   1392.23935   -194.14348    173.06170
      85 2002 12 21  0  3 47 157  2.6158    158.65829   1393.60357   -194.52249    175.30338
      86 2002 12 21  0  3 49 773  2.6158    158.65249   1394.90049   -194.89534    178.70070
      87 2002 12 21  0  3 52 389  2.6157    158.64730   1396.13703   -195.25325    182.06884
      88 2002 12 21  0  3 55   5  2.6157    158.64350   1397.55947   -195.60654    185.30843
      89 2002 12 21  0  3 57 620  2.6154    158.64056   1399.00335   -195.93531    188.37707
      90 2002 12 21  0  4  0 235  2.6152    158.63724   1400.41605   -196.25716    191.22790
      91 2002 12 21  0  4  2 851  2.6153    158.63337   1401.80027   -196.81107    193.81163
      92 2002 12 21  0  4  5 466  2.6151    158.62966   1403.08623   -197.53846    196.65358
      93 2002 12 21  0  4  8  81  2.6154    158.62644   1404.28403   -198.27034    200.27560
      94 2002 12 21  0  4 10 696  2.6152    158.62354   1405.54124   -198.95430    203.79986
      95 2002 12 21  0  4 13 311  2.6151    158.62083   1407.01158   -199.61929    207.15918
      96 2002 12 21  0  4 15 927  2.6151    158.61836   1408.43169   -200.28062    210.30589
      97 2002 12 21  0  4 18 542  2.6150    158.61609   1409.81719   -200.92329    213.18762
      98 2002 12 21  0  4 21 156  2.6150    158.61367   1411.08159   -201.55837    215.75055
      99 2002 12 21  0  4 23 771  2.6149    158.61105   1412.22874   -202.17965    219.14492
     100 2002 12 21  0  4 26 386  2.6145    158.60831   1413.68410   -202.77720    222.91256
     101 2002 12 21  0  4 29   0  2.6144    158.60546   1415.19007   -203.36974    226.52150
     102 2002 12 21  0  4 31 615  2.6146    158.60253   1416.68681   -203.97262    229.92410
     103 2002 12 21  0  4 34 229  2.6143    158.59967   1418.06852   -204.53231    233.06514
     104 2002 12 21  0  4 36 844  2.6144    158.59709   1419.29255   -205.09765    235.88764
     105 2002 12 21  0  4 39 458  2.6143    158.59496   1420.80959   -205.64290    238.45050
     106 2002 12 21  0  4 42  72  2.6140    158.59326   1422.46847   -206.16472    242.39570
     107 2002 12 21  0  4 44 686  2.6145    158.59179   1424.07723   -206.72188    246.22218
     108 2002 12 21  0  4 47 301  2.6144    158.59041   1425.80315   -207.23297    249.84560
     109 2002 12 21  0  4 49 915  2.6146    158.58888   1428.02091   -207.74614    253.21083
     110 2002 12 21  0  4 52 530  2.6147    158.58716   1429.94620   -208.24830    256.25687
     111 2002 12 21  0  4 55 145  2.6150    158.58528   1431.57419   -208.74455    258.92072
     112 2002 12 21  0  4 57 760  2.6152    158.58350   1432.57416   -209.22026    262.08939
     113 2002 12 21  0  5  0   0  2.2394    158.58388   1432.13302   -199.89058    265.50861
